,danceability,tempo,loudness,mode,track_album_name,valence
384,0.754,116978.0,-2453.0,0.0,Love Me,0.613
385,0.565,124919.0,-3793.0,0.0,Love Rush In,0.218
386,0.715,123009.0,-7401.0,1.0,Mama (feat. Micky Parsons),0.657
387,0.736,127989.0,-2869.0,1.0,Massive Selecta,0.677
388,0.894,128007.0,-3003.0,1.0,Me EP,0.395
389,0.913,127973.0,-4629.0,1.0,Melbourne Bounce (Remixes),0.532
390,0.596,125968.0,-7071.0,1.0,Million Voices,0.235
391,0.868,127976.0,-3347.0,1.0,Miracles,0.814
392,0.61,128004.0,-6878.0,0.0,Mistaken (feat. Alex Aris),0.119
393,0.535,154952.0,-6694.0,0.0,Mistakes,0.48
394,0.656,127942.0,-3351.0,1.0,Monocool 2014,0.193
395,0.682,128011.0,-4302.0,1.0,More (Remixes),0.38
396,0.714,125.05,-6733.0,0.0,My Love (The Remixes),0.523
397,0.504,127997.0,-4828.0,1.0,Never Be The Same,0.276
398,0.74,128008.0,-5638.0,1.0,Newman,0.962
399,0.735,121964.0,-6155.0,1.0,No Love,0.594
